timestamp,status,confidence,perclos,ear,mar,yawn,head_pitch,head_yaw,acc_x,acc_y,acc_z,temp,hr,spo2,pred_alert,pred_drowsy,pred_fatigued
1766734107.8090646,ALERT,0.99,0.0,0.319,0.013,0.0,-12.2,32.61,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734108.2267785,ALERT,0.99,0.0,0.319,0.013,0.0,-12.2,32.61,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734109.031147,ALERT,0.99,0.0,0.371,0.011,0.0,-11.01,19.55,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734109.4082682,ALERT,0.99,0.0,0.328,0.008,0.0,-11.94,31.95,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734109.71552,ALERT,0.99,0.0,0.328,0.008,0.0,-12.54,31.14,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734110.4812756,ALERT,0.99,0.0,0.453,0.012,0.0,-19.86,-22.89,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734110.7923071,ALERT,0.99,0.0,0.453,0.012,0.0,-19.86,-22.89,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734111.2151911,ALERT,0.99,33.3,0.064,0.011,0.0,-1.99,6.05,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734111.5695202,ALERT,0.99,33.3,0.064,0.011,0.0,-1.99,6.05,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734112.0353246,ALERT,0.99,66.7,0.241,0.005,0.0,0.24,1.93,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734112.6545424,ALERT,0.99,0.0,0.294,0.014,0.0,-11.0,30.68,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734113.5403295,ALERT,0.99,0.0,0.319,0.008,0.0,-9.23,33.72,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734114.2192822,ALERT,0.99,0.0,0.426,0.005,0.0,19.15,-21.28,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734114.7612398,ALERT,0.99,0.0,0.426,0.005,0.0,19.15,-21.28,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734115.277833,ALERT,0.99,0.0,0.285,0.01,0.0,-14.3,37.45,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734115.7209115,ALERT,0.99,0.0,0.408,0.002,0.0,-14.3,37.45,0,0,0,0.0,0.0,0,0.993,0.007,0.0
1766734116.5211155,ALERT,0.99,0.0,0.474,0.01,0.0,33.5,-5.5,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734116.8543868,ALERT,0.99,0.0,0.474,0.01,0.0,-39.72,-87.72,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734117.2182639,ALERT,0.99,0.0,0.474,0.01,0.0,-39.72,-87.72,0,0,0,0.0,0.0,0,0.992,0.007,0.001
1766734117.9446597,ALERT,0.99,0.0,0.448,0.008,0.0,-41.64,-87.45,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734118.2829876,ALERT,0.99,0.0,0.322,0.008,0.0,-7.32,20.1,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734118.711575,ALERT,0.99,0.0,0.322,0.008,0.0,-7.32,20.1,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734119.0242457,ALERT,0.99,0.0,0.383,0.009,0.0,-7.9,19.66,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734119.5314193,ALERT,0.99,0.0,0.383,0.009,0.0,-7.9,19.66,0,0,0,0.0,0.0,0,0.992,0.008,0.001
1766734120.1037467,ALERT,0.99,0.0,0.31,0.008,0.0,-6.86,20.06,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734121.0260806,ALERT,0.99,0.0,0.383,0.0,0.0,-7.36,19.56,0,0,0,0.0,0.0,0,0.992,0.007,0.0
1766734121.7154193,ALERT,0.99,0.0,0.386,0.012,0.0,-6.78,19.28,0,0,0,0.0,0.0,0,0.992,0.007,0.001
